work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q106790897,Shiksha,edition_or_translation_of,1960-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q123992931,
http://www.wikidata.org/entity/Q107239677,Palataka,edition_or_translation_of,1954-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q98087127,Palataka
http://www.wikidata.org/entity/Q106756115,Parasya-yatri,edition_or_translation_of,1963-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q123993108,
http://www.wikidata.org/entity/Q107213174,Chaitali,edition_or_translation_of,1957-09-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q97246233,
http://www.wikidata.org/entity/Q105719193,Se,edition_or_translation_of,1940-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q123992695,
http://www.wikidata.org/entity/Q106833925,Atmaparichay,edition_or_translation_of,2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q123992962,
http://www.wikidata.org/entity/Q107283226,Banabani,edition_or_translation_of,1968-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q97593727,
http://www.wikidata.org/entity/Q106152722,Q106152722,edition_or_translation_of,1917-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q155993,Kladno,50.143055555,14.105277777,http://www.wikidata.org/entity/Q5717253,The Gardener
http://www.wikidata.org/entity/Q106774731,Chithipatra (Volume 7),edition_or_translation_of,1992-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q123992969,
http://www.wikidata.org/entity/Q106773891,Kavyagrantha (Volume 4),edition_or_translation_of,1915-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q162442,Prayagraj,25.45,81.85,http://www.wikidata.org/entity/Q123993126,
http://www.wikidata.org/entity/Q106773803,Kavyagrantha (Volume 1),edition_or_translation_of,1915-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q162442,Prayagraj,25.45,81.85,http://www.wikidata.org/entity/Q123993126,
http://www.wikidata.org/entity/Q106706195,Bishwabidyalayer rup,edition_or_translation_of,1933-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q123993129,
http://www.wikidata.org/entity/Q106773825,Kavyagrantha (Volume 2),edition_or_translation_of,1915-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q162442,Prayagraj,25.45,81.85,http://www.wikidata.org/entity/Q123993126,
http://www.wikidata.org/entity/Q105719883,Samalochana,edition_or_translation_of,1887-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q123995085,
http://www.wikidata.org/entity/Q106695933,Dui bon,edition_or_translation_of,1943-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q118111464,
http://www.wikidata.org/entity/Q106706132,Shikshar Bikiran,edition_or_translation_of,1933-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q123993128,
http://www.wikidata.org/entity/Q107022532,Japan-yatri,edition_or_translation_of,1919-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,,,http://www.wikidata.org/entity/Q1348,Kolkata,22.5675,88.37,http://www.wikidata.org/entity/Q123992729,
