work,workLabel,origWork,origWorkLabel,relation,date,language,languageLabel,place,placeLabel,coord
http://www.wikidata.org/entity/Q105943609,Hamlet krolewicz dunski,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1805-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q2089710,"Mynkivtsi, Dunaivtsi Raion",Point(27.1075 48.853888888)
http://www.wikidata.org/entity/Q105943615,Hamlet,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1877-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q105943612,Hamlet,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1875-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q105943621,Hamlet : tragedya w 5 aktach,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1913-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q105943626,Hamlet,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1954-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q105943624,Hamlet,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1922-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.937222222 50.061388888)
http://www.wikidata.org/entity/Q105943625,Hamlet : tragedya w 5 aktach,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1951-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q105943630,Hamlet królewicz duński,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1957-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q105943631,Hamlet,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1958-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q105943629,Hamlet,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1955-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q105943635,"Hamlet, królewic duński",http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1935-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q105943638,"Hamlet, królewicz duński",http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1964-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
