work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q134173519,Q134173519,edition_or_translation_of,2003-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,http://www.wikidata.org/entity/Q183,Germany,51.0,10.0,http://www.wikidata.org/entity/Q751348,Norwegian Wood
http://www.wikidata.org/entity/Q122002504,Q122002504,edition_or_translation_of,2017-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q579744,Kafka on the Shore
http://www.wikidata.org/entity/Q121952371,Q121952371,edition_or_translation_of,2015-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q751348,Norwegian Wood
http://www.wikidata.org/entity/Q122107573,Q122107573,edition_or_translation_of,2021-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q751348,Norwegian Wood
http://www.wikidata.org/entity/Q118309214,"South of the Border, West of the Sun",edition_or_translation_of,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,http://www.wikidata.org/entity/Q30,United States,39.828175,-98.5795,http://www.wikidata.org/entity/Q466412,"South of the Border, West of the Sun"
http://www.wikidata.org/entity/Q121973287,Q121973287,edition_or_translation_of,2016-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q2279794,A Wild Sheep Chase
http://www.wikidata.org/entity/Q122086487,Q122086487,edition_or_translation_of,2021-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q2362776,Dance Dance Dance
http://www.wikidata.org/entity/Q133889267,Q133889267,edition_or_translation_of,2004-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,http://www.wikidata.org/entity/Q183,Germany,51.0,10.0,http://www.wikidata.org/entity/Q930228,Sputnik Sweetheart
http://www.wikidata.org/entity/Q134055133,Q134055133,edition_or_translation_of,2006-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,http://www.wikidata.org/entity/Q183,Germany,51.0,10.0,http://www.wikidata.org/entity/Q2279794,A Wild Sheep Chase
http://www.wikidata.org/entity/Q133849091,Q133849091,edition_or_translation_of,2003-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,http://www.wikidata.org/entity/Q183,Germany,51.0,10.0,http://www.wikidata.org/entity/Q2362776,Dance Dance Dance
http://www.wikidata.org/entity/Q134031691,Kafka on the Shore,edition_or_translation_of,2005-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,http://www.wikidata.org/entity/Q145,United Kingdom,54.6,-2.0,http://www.wikidata.org/entity/Q579744,Kafka on the Shore
http://www.wikidata.org/entity/Q120959991,What I Talk About When I Talk About Running,edition_or_translation_of,2008-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,http://www.wikidata.org/entity/Q30,United States,39.828175,-98.5795,http://www.wikidata.org/entity/Q1583509,What I Talk About When I Talk About Running
http://www.wikidata.org/entity/Q122000991,Q122000991,edition_or_translation_of,2017-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q594439,Hard-Boiled Wonderland and the End of the World
http://www.wikidata.org/entity/Q134083205,Q134083205,edition_or_translation_of,2007-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,http://www.wikidata.org/entity/Q183,Germany,51.0,10.0,http://www.wikidata.org/entity/Q594439,Hard-Boiled Wonderland and the End of the World
http://www.wikidata.org/entity/Q133875748,Q133875748,edition_or_translation_of,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,http://www.wikidata.org/entity/Q183,Germany,51.0,10.0,http://www.wikidata.org/entity/Q976992,The Wind-Up Bird Chronicle
http://www.wikidata.org/entity/Q118309206,"South of the Border, West of the Sun",edition_or_translation_of,,http://www.wikidata.org/entity/Q1860,English,,,http://www.wikidata.org/entity/Q30,United States,39.828175,-98.5795,http://www.wikidata.org/entity/Q466412,"South of the Border, West of the Sun"
http://www.wikidata.org/entity/Q120960611,Q120960611,edition_or_translation_of,2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q5287,Japanese,,,http://www.wikidata.org/entity/Q17,Japan,35.0,136.0,http://www.wikidata.org/entity/Q1583509,What I Talk About When I Talk About Running
http://www.wikidata.org/entity/Q121959869,Q121959869,edition_or_translation_of,2015-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q930228,Sputnik Sweetheart
http://www.wikidata.org/entity/Q134032155,Q134032155,edition_or_translation_of,2006-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,http://www.wikidata.org/entity/Q183,Germany,51.0,10.0,http://www.wikidata.org/entity/Q579744,Kafka on the Shore
http://www.wikidata.org/entity/Q120960306,Q120960306,edition_or_translation_of,2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,,,http://www.wikidata.org/entity/Q29,Spain,40.2,-3.5,http://www.wikidata.org/entity/Q1583509,What I Talk About When I Talk About Running
http://www.wikidata.org/entity/Q120960779,Q120960779,edition_or_translation_of,2009-02-27T00:00:00Z,http://www.wikidata.org/entity/Q9307,Galician,,,http://www.wikidata.org/entity/Q8745,Vigo,42.235833333,-8.726666666,http://www.wikidata.org/entity/Q1583509,What I Talk About When I Talk About Running
http://www.wikidata.org/entity/Q120959553,Q120959553,edition_or_translation_of,2007-01-01T00:00:00Z,http://www.wikidata.org/entity/Q5287,Japanese,,,http://www.wikidata.org/entity/Q17,Japan,35.0,136.0,http://www.wikidata.org/entity/Q1583509,What I Talk About When I Talk About Running
http://www.wikidata.org/entity/Q134031373,Q134031373,edition_or_translation_of,2002-01-01T00:00:00Z,http://www.wikidata.org/entity/Q5287,Japanese,,,http://www.wikidata.org/entity/Q17,Japan,35.0,136.0,http://www.wikidata.org/entity/Q579744,Kafka on the Shore
http://www.wikidata.org/entity/Q104089873,Dance dance dance,edition_or_translation_of,2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,http://www.wikidata.org/entity/Q495,Turin,45.079166666,7.676111111,http://www.wikidata.org/entity/Q2362776,Dance Dance Dance
http://www.wikidata.org/entity/Q118309198,Q118309198,edition_or_translation_of,1992-01-01T00:00:00Z,http://www.wikidata.org/entity/Q5287,Japanese,,,http://www.wikidata.org/entity/Q17,Japan,35.0,136.0,http://www.wikidata.org/entity/Q466412,"South of the Border, West of the Sun"
http://www.wikidata.org/entity/Q126500787,Q126500787,edition_or_translation_of,,http://www.wikidata.org/entity/Q5287,Japanese,,,,,,,http://www.wikidata.org/entity/Q17221892,The Strange Library
