work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q1211800,The Brothers Karamazov,based_on,1969-07-12T00:00:00Z,,,http://www.wikidata.org/entity/Q15180,Soviet Union,,,,,http://www.wikidata.org/entity/Q183157,The Brothers Karamazov
http://www.wikidata.org/entity/Q14949937,Wandering Souls,based_on,1921-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q183,Germany,,,,,http://www.wikidata.org/entity/Q210784,The Idiot
http://www.wikidata.org/entity/Q3454137,The Gambler,based_on,1975-02-17T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q223688,The Gambler
http://www.wikidata.org/entity/Q4155282,Down House,based_on,2001-05-12T00:00:00Z,,,http://www.wikidata.org/entity/Q159,Russia,,,,,http://www.wikidata.org/entity/Q210784,The Idiot
http://www.wikidata.org/entity/Q3790830,The Brothers Karamazov,based_on,1969-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q38,Italy,,,,,http://www.wikidata.org/entity/Q183157,The Brothers Karamazov
http://www.wikidata.org/entity/Q692347,Crime and Punishment,based_on,1958-03-27T00:00:00Z,,,http://www.wikidata.org/entity/Q142,France,,,,,http://www.wikidata.org/entity/Q165318,Crime and Punishment
http://www.wikidata.org/entity/Q7730725,The Double,based_on,2014-04-04T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q1192975,The Double
http://www.wikidata.org/entity/Q3454137,The Gambler,based_on,1975-06-13T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q223688,The Gambler
http://www.wikidata.org/entity/Q3495085,The Karamazovs,based_on,2008-04-24T00:00:00Z,,,http://www.wikidata.org/entity/Q36,Poland,,,,,http://www.wikidata.org/entity/Q183157,The Brothers Karamazov
http://www.wikidata.org/entity/Q2398429,Crime and Punishment,based_on,1935-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q165318,Crime and Punishment
http://www.wikidata.org/entity/Q664726,Pickpocket,based_on,1959-12-01T00:00:00Z,,,http://www.wikidata.org/entity/Q142,France,,,,,http://www.wikidata.org/entity/Q165318,Crime and Punishment
http://www.wikidata.org/entity/Q14949854,The Brothers Karamazov,based_on,1921-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q41304,Weimar Republic,,,,,http://www.wikidata.org/entity/Q183157,The Brothers Karamazov
http://www.wikidata.org/entity/Q2080373,Nastasja,based_on,1994-09-14T00:00:00Z,,,http://www.wikidata.org/entity/Q36,Poland,,,,,http://www.wikidata.org/entity/Q210784,The Idiot
http://www.wikidata.org/entity/Q5185250,Crime and Punishment,based_on,,,,,,,,,,http://www.wikidata.org/entity/Q165318,Crime and Punishment
http://www.wikidata.org/entity/Q3454137,The Gambler,based_on,1975-08-30T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q223688,The Gambler
http://www.wikidata.org/entity/Q3495085,The Karamazovs,based_on,2008-04-24T00:00:00Z,,,http://www.wikidata.org/entity/Q213,Czech Republic,,,,,http://www.wikidata.org/entity/Q183157,The Brothers Karamazov
