author,date of birth,country of citizenship,workLabel,relation,date,language,placeLabel
William Shakespeare,1564-04-01T00:00:00Z,Kingdom of England,Hamlet,translation_of,2001-05-14T00:00:00Z,English,London
William Shakespeare,1564-04-01T00:00:00Z,Kingdom of England,Romeo and Juliet,edition_or_translation_of,1999-05-01T00:00:00Z,english,London
William Shakespeare,1564-04-01T00:00:00Z,Kingdom of England,Macbeth,based_on,1997-01-01T00:00:00Z,Français,Paris
Leo Tolstoy,1828-08-28T00:00:00Z,Russian Empire,War and Peace,based_on,March 2010,Russian,Moscow
Leo Tolstoy,1828-08-28T00:00:00Z,Russian Empire,Anna Karenina,translation_of,2013-04-02T00:00:00Z,русский,moskva
Leo Tolstoy,1828-08-28T00:00:00Z,Russian Empire,The Death of Ivan Ilyich,edition_or_translation_of,2015-12-01T00:00:00Z,russian,Saint Petersburg
Gabriel García Márquez,1927-03-06T00:00:00Z,Colombia,One Hundred Years of Solitude,based_on,April 1982,Español,Bogotá
Gabriel García Márquez,1927-03-06T00:00:00Z,Colombia,Love in the Time of Cholera,translation_of,1999-01-15T00:00:00Z,spanish,Bogotá
Gabriel García Márquez,1927-03-06T00:00:00Z,Colombia,Chronicle of a Death Foretold,based_on,1997-05-01T00:00:00Z,español,Buenos Aires
Homer,0900-01-01T00:00:00Z,Ionian League,The Odyssey,edition_or_translation_of,700 BC,Greek,Athens
Homer (Greek poet),,,The Iliad,translation_of,750 BC,Ελληνικά,athina
Hoomer,,,Odyysey,based_on,700BC,greek,"Athens, Greece"
