item,itemLabel
http://www.wikidata.org/entity/Q1198405,The Blind Assassin
http://www.wikidata.org/entity/Q1541914,The Handmaid's Tale
http://www.wikidata.org/entity/Q1736876,Cat's Eye
http://www.wikidata.org/entity/Q2032398,Oryx and Crake
http://www.wikidata.org/entity/Q3818322,Alias Grace
http://www.wikidata.org/entity/Q4352956,The Year of the Flood
http://www.wikidata.org/entity/Q4886345,Life Before Man
http://www.wikidata.org/entity/Q4936612,Bodily Harm
http://www.wikidata.org/entity/Q5215475,Dancing Girls & Other Stories
http://www.wikidata.org/entity/Q7646051,Surfacing
http://www.wikidata.org/entity/Q7731579,The Edible Woman
http://www.wikidata.org/entity/Q21065489,The Heart Goes Last
http://www.wikidata.org/entity/Q26158076,Hag-Seed
http://www.wikidata.org/entity/Q29581260,Stone Mattress: Nine Tales
http://www.wikidata.org/entity/Q60786692,The Testaments
http://www.wikidata.org/entity/Q131929965,Democracy
