work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q97575406,La Divina Increnca,based_on,1924-01-01T00:00:00Z,http://www.wikidata.org/entity/Q750553,Brazilian Portuguese,http://www.wikidata.org/entity/Q155,Brazil,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q128602802,Dante's Hölle,edition_or_translation_of,1795-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q4509219,Inferno
http://www.wikidata.org/entity/Q33053986,Q33053986,edition_or_translation_of,1922-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q19984772,
http://www.wikidata.org/entity/Q128216158,La Divina Comedia di Dante Alighieri,based_on,1802-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q85194769,Q85194769,edition_or_translation_of,1925-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q21190966,"Göttliche Komödie (1876, Streckfuß)"
http://www.wikidata.org/entity/Q33054032,Q33054032,edition_or_translation_of,1910-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q132816477,
http://www.wikidata.org/entity/Q55831099,Codex vaticanus latinus 3199,edition_or_translation_of,1351-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q133042734,Q133042734,edition_or_translation_of,1910-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q133042709,
http://www.wikidata.org/entity/Q21190964,A Divina Comédia (Pinheiro),edition_or_translation_of,,http://www.wikidata.org/entity/Q5146,Portuguese,,,,,,,http://www.wikidata.org/entity/Q104777502,Divina Comedia
http://www.wikidata.org/entity/Q2354251,The Barque of Dante,based_on,1822-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q56323522,Codex Laurentianus plut. 90.125,edition_or_translation_of,1340-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q104693403,Q104693403,edition_or_translation_of,,,,,,,,,,http://www.wikidata.org/entity/Q4509219,Inferno
http://www.wikidata.org/entity/Q2665048,Dante and Virgil in Hell,based_on,1850-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q142,France,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q132798840,Q132798840,edition_or_translation_of,1910-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q132798888,
http://www.wikidata.org/entity/Q132815298,Q132815298,edition_or_translation_of,1910-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q132818144,
http://www.wikidata.org/entity/Q132815995,Q132815995,edition_or_translation_of,1910-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q19984772,
http://www.wikidata.org/entity/Q132885503,Q132885503,edition_or_translation_of,1910-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q132885663,
http://www.wikidata.org/entity/Q33054032,Q33054032,edition_or_translation_of,1910-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q132816477,
http://www.wikidata.org/entity/Q3637289,Beatrice Addressing Dante from the Car,based_on,1820-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q605018,Purgatorio
http://www.wikidata.org/entity/Q130725311,Q130725311,based_on,,,,,,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q2003287,The Gates of Hell,based_on,1880-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q17562638,"Abandon all hope, ye who enter here"
http://www.wikidata.org/entity/Q1130910,Dante's Inferno,based_on,1935-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q128605311,Ugolino. Aus Dante’s Hölle,edition_or_translation_of,1794-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q4509219,Inferno
http://www.wikidata.org/entity/Q5479139,Francesca da Rimini and Paolo Malatesta appraised by Dante and Virgil,based_on,,,,,,,,,,http://www.wikidata.org/entity/Q4509219,Inferno
http://www.wikidata.org/entity/Q133042765,Q133042765,edition_or_translation_of,1910-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q133042800,
http://www.wikidata.org/entity/Q727868,Gianni Schicchi,based_on,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,http://www.wikidata.org/entity/Q38,Italy,,,,,http://www.wikidata.org/entity/Q40185,The Divine Comedy
http://www.wikidata.org/entity/Q19178937,"L’Enfer (1867, Rivarol)",edition_or_translation_of,1867-01-01T00:00:00Z,http://www.wikidata.org/entity/Q150,French,,,,,,,http://www.wikidata.org/entity/Q4509219,Inferno
