author,place of birth,pob_Latitude,pob_Longitude,country of citizenship,coc_Latitude,coc_Longitude,authorLabel,work,workTitle
Jean-Pierre Razafy-Andriamihaingo,Antananarivo,-18.91,47.525,France,47,2,Jean-Pierre Razafy-Andriamihaingo,http://www.wikidata.org/entity/Q60322805,"La geste éphémère de Ranavalona Ière : l'expédition diplomatique malgache en Europe, 1836-1837"
,,,,Madagascar,-20,47,,,
George Jennings Hinde,Norwich,52.62861111111111,1.2927777777777778,United Kingdom,54.6,-2,George Jennings Hinde,http://www.wikidata.org/entity/Q51479329,Fossil sponges and other organic remains from the Quebec Group at Little Metis
George Jennings Hinde,Norwich,52.62861111111111,1.2927777777777778,United Kingdom,54.6,-2,George Jennings Hinde,http://www.wikidata.org/entity/Q51510253,"New species of fossil sponges from Little Metis, province of Quebec, Canada"
Auguste Achintre,Besançon,47.242222222222,6.0213888888889,Canada,56,-109,Auguste Achintre,http://www.wikidata.org/entity/Q51492900,"L'Ile Ste. Hélène, passé, présent et avenir gé ologie, paléontologie, flore et faune"
,,,,France,47,2,,,
François Nicolas Guy Napoléon Faverot de Kerbrech,Caudan,47.808888888889,-3.3425,France,47,2,François Nicolas Guy Napoléon Faverot de Kerbrech,http://www.wikidata.org/entity/Q51503045,"Mémoire sur les chevaux de l'Amérique du Nord, États-Unis et Canada"
Pehr Kalm,Själevad parish,63.292833333333,18.607361111111,Sweden,61,15,Pehr Kalm,http://www.wikidata.org/entity/Q51503210,Mémoires de la Société historique de Montréal
,Ångermanland,63.154,17.238,Finland,65,27,,,
Joseph Frederick Whiteaves,Oxford,51.751944444444,-1.2577777777778,Canada,56,-109,Joseph Frederick Whiteaves,http://www.wikidata.org/entity/Q51511617,Notes on recent Canadian Unionidæ
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
Joseph Frederick Whiteaves,Oxford,51.751944444444,-1.2577777777778,Canada,56,-109,Joseph Frederick Whiteaves,http://www.wikidata.org/entity/Q51516290,Palæozoic fossils.
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
Arthur Willey,Scarborough,54.2825,-0.4,United Kingdom,54.6,-2,Arthur Willey,http://www.wikidata.org/entity/Q51516556,Papers from the Peter Redpath Museum No. 1. Organisms and organization
,,,,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,,,
Henry Bovey,Devon,50.7,-3.8,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,Henry Bovey,http://www.wikidata.org/entity/Q51498690,A lecture on the progess of science in Canada
John George Adami,Ashton upon Mersey,53.4311,-2.3336,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,John George Adami,http://www.wikidata.org/entity/Q51513623,On a giant-celled rhabdomyo sarcoma from the trout
John George Adami,Ashton upon Mersey,53.4311,-2.3336,United Kingdom of Great Britain and Ireland,51.50722222222,-0.1275,John George Adami,http://www.wikidata.org/entity/Q51514058,On the diplococcoid form of the colon bacillus
Marie Le Franc,Sarzeau,47.527222222222,-2.7697222222222,France,47,2,Marie Le Franc,http://www.wikidata.org/entity/Q55402964,Le destin
Louis Hémon,Brest,48.39,-4.4869444444444,France,47,2,Louis Hémon,http://www.wikidata.org/entity/Q59688419,Maria Chapdelaine
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124846358,Un Clown en hiver
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124846759,Les Chiens de Cahuita
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124846780,Le Loup au Québec
Eddy Garnier,Hinche,19.15,-72.016666666667,Haiti,19,-72.8,Eddy Garnier,http://www.wikidata.org/entity/Q124846345,Plaie rouillée
,,19.144636,-72.006262,Canada,56,-109,,,
Claude C. Pierre,Corail,18.566666666667,-73.883333333333,Haiti,19,-72.8,Claude C. Pierre,http://www.wikidata.org/entity/Q124846330,Le Coup de l'étrier
Claude Chastillon,Châlons-en-Champagne,48.956666666667,4.3644444444444,France,47,2,Claude Chastillon,http://www.wikidata.org/entity/Q124846340,Carnets de guerre
Jean-François Somain,Paris,48.85666666666667,2.352222222222222,France,47,2,Jean-François Somain,http://www.wikidata.org/entity/Q124846779,Le Jour de la lune
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124846342,Donatina et Noblika
,,,,France,47,2,,,
Jennifer Dickson,Piet Retief,-27,30.8,United Kingdom,54.6,-2,Jennifer Dickson,http://www.wikidata.org/entity/Q124846730,Le Châtiment d'Orphée
,,,,Canada,56,-109,,,
Martine L. Jacquot,La Ferté-Gaucher,48.7825,3.3052777777778,France,47,2,Martine L. Jacquot,http://www.wikidata.org/entity/Q124846745,La Folie des chapeaux
Évelyne Voldeng,Brittany,48,-3,France,47,2,Évelyne Voldeng,http://www.wikidata.org/entity/Q124846761,Les Mémoires de Ti-Jean
Michel Blanc,Courbevoie,48.897222222222,2.2522222222222,France,47,2,Michel Blanc,http://www.wikidata.org/entity/Q124846734,Le Procès des humains
Philippe Prévost,Le Havre,49.494166666667,0.10805555555556,France,47,2,Philippe Prévost,http://www.wikidata.org/entity/Q124846746,La France et le Canada
Monique Genuist,Lorraine,48.6,6.4872222222222,France,47,2,Monique Genuist,http://www.wikidata.org/entity/Q124847424,L'Île au cotonnier
,,,,Canada,56,-109,,,
Yejide Kilanko,Ibadan,7.3775,3.9058333333333,Nigeria,9,8,Yejide Kilanko,http://www.wikidata.org/entity/Q111238642,Daughters Who Walk This Path
Rodney Saint-Éloi,Cavaellon,18.3,-73.65,Haiti,19,-72.8,Rodney Saint-Éloi,http://www.wikidata.org/entity/Q105724545,Quand il fait triste Bertha chante
Marie Le Franc,Sarzeau,47.527222222222,-2.7697222222222,France,47,2,Marie Le Franc,http://www.wikidata.org/entity/Q90415916,Pêcheurs de Gaspésie
Henri Émile Chevalier,Châtillon-sur-Seine,47.858333333333,4.5741666666667,France,47,2,Henri Émile Chevalier,http://www.wikidata.org/entity/Q98829529,Biographie de Mme Anna de La Grange
Édouard Baudry,Ghent,51.05361111111111,3.725277777777778,Belgium,50.641111111111,4.6680555555556,Édouard Baudry,http://www.wikidata.org/entity/Q105429881,Rue Principale
François-Edme Rameau de Saint-Père,Gien,47.698055555556,2.625,France,47,2,François-Edme Rameau de Saint-Père,http://www.wikidata.org/entity/Q84850639,"Une colonie féodale en Amerique : l'Acadie, 1604-1881, volume I"
François-Edme Rameau de Saint-Père,Gien,47.698055555556,2.625,France,47,2,François-Edme Rameau de Saint-Père,http://www.wikidata.org/entity/Q84850659,"Une colonie féodale en Amerique : l'Acadie, 1604-1881, volume II"
Albert Larrieu,Perpignan,42.6975,2.8947222222222,France,47,2,Albert Larrieu,http://www.wikidata.org/entity/Q92074552,Au pays des érables
Adrien Rannaud,Lyon,45.7675,4.835,France,47,2,Adrien Rannaud,http://www.wikidata.org/entity/Q109479828,La révolution du magazine au Québec
,,,,Canada,56,-109,,,
Marie-Claire Blais,Quebec City,46.816111,-71.224167,Canada,56,-109,Marie-Claire Blais,http://www.wikidata.org/entity/Q110099057,Une saison dans la vie d'Emmanuel
,,,,France,47,2,,,
Marie-Claire Blais,Quebec City,46.816111,-71.224167,Canada,56,-109,Marie-Claire Blais,http://www.wikidata.org/entity/Q110099170,Une saison dans la vie d'Emmanuel
,,,,France,47,2,,,
Emil Ludwig,Wrocław,51.11,17.0325,Germany,51,10,Emil Ludwig,http://www.wikidata.org/entity/Q113572443,"Mackenzie King, esquisse d'un portrait"
,,,,Switzerland,46.798562,8.231973,,,
Henry de Puyjalon,Lot,44.558888888889,1.5763888888889,France,47,2,Henry de Puyjalon,http://www.wikidata.org/entity/Q109522802,Récits du Labrador
Walery Nowina,Poland,52,19,Canada,56,-109,Walery Nowina,http://www.wikidata.org/entity/Q124959027,Qu'il y ait du soleil pour tout le monde
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124958427,Le Colosse des neiges de Campbellton
,,,,France,47,2,,,
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124958417,Le Chuchotement des étoiles
,,,,Canada,56,-109,,,
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124959017,Petites Pierres blanches
,,,,Canada,56,-109,,,
Marie Liondor,France,47,2,Canada,56,-109,Marie Liondor,http://www.wikidata.org/entity/Q124958428,Le Grand Chaos
,,,,France,47,2,,,
Isabelle Regout,Braine-l'Alleud,50.6806,4.3717,Belgium,50.641111111111,4.6680555555556,Isabelle Regout,http://www.wikidata.org/entity/Q124959016,Petit Bonheur de chemin
,,,,Canada,56,-109,,,
Thomas De Koninck,Leuven,50.8775,4.704444,Canada,56,-109,Thomas De Koninck,http://www.wikidata.org/entity/Q124959026,Questions ultimes
,,,,Belgium,50.641111111111,4.6680555555556,,,
Rie Mochizuki,Akashi,34.64313888888889,134.99722222222223,Japan,35,136,Rie Mochizuki,http://www.wikidata.org/entity/Q124959091,La Princesse Isabelle et le Prince Bruno
,,34.682777777778,134.94027777778,,,,,,
Angèle Bassolé-Ouédraogo,Abidjan,5.3363888888889,-4.0266666666667,Ivory Coast,8,-6,Angèle Bassolé-Ouédraogo,http://www.wikidata.org/entity/Q124959052,Les Porteuses d'Afrique !
,,,,Canada,56,-109,,,
Hédi Bouraoui,Sfax,34.74,10.76,Canada,56,-109,Hédi Bouraoui,http://www.wikidata.org/entity/Q124959062,Cap Nord
,,,,French protectorate of Tunisia,36.8333,10.15,,,
,,,,Tunisia,34,10,,,
Melchior Mbonimpa,Burundi,-3.666667,29.816667,Canada,56,-109,Melchior Mbonimpa,http://www.wikidata.org/entity/Q124959092,La Terre sans mal
Jean-François Somain,Paris,48.85666666666667,2.352222222222222,France,47,2,Jean-François Somain,http://www.wikidata.org/entity/Q124959222,Le Plus Bel Amour du monde
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124959185,Ernest et les vitamines
,,,,France,47,2,,,
Brigitte Haentjens,Paris,48.85666666666667,2.352222222222222,France,47,2,Brigitte Haentjens,http://www.wikidata.org/entity/Q124959059,Blanchie
Pierre Léon,Ligré,47.112222222222,0.27527777777778,France,47,2,Pierre Léon,http://www.wikidata.org/entity/Q124959199,Faut-il tuer Aline Merlin ?
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124959076,Esprit de sel
,,,,Canada,56,-109,,,
