author,authorLabel,work,workTitle
http://www.wikidata.org/entity/Q18338411,Jean-Pierre Razafy-Andriamihaingo,http://www.wikidata.org/entity/Q60322805,"La geste éphémère de Ranavalona Ière : l'expédition diplomatique malgache en Europe, 1836-1837"
http://www.wikidata.org/entity/Q24004654,George Jennings Hinde,http://www.wikidata.org/entity/Q51479329,Fossil sponges and other organic remains from the Quebec Group at Little Metis
http://www.wikidata.org/entity/Q24004654,George Jennings Hinde,http://www.wikidata.org/entity/Q51510253,"New species of fossil sponges from Little Metis, province of Quebec, Canada"
http://www.wikidata.org/entity/Q2871025,Auguste Achintre,http://www.wikidata.org/entity/Q51492900,"L'Ile Ste. Hélène, passé, présent et avenir gé ologie, paléontologie, flore et faune"
http://www.wikidata.org/entity/Q3085461,François Nicolas Guy Napoléon Faverot de Kerbrech,http://www.wikidata.org/entity/Q51503045,"Mémoire sur les chevaux de l'Amérique du Nord, États-Unis et Canada"
http://www.wikidata.org/entity/Q719204,Pehr Kalm,http://www.wikidata.org/entity/Q51503210,Mémoires de la Société historique de Montréal
http://www.wikidata.org/entity/Q385644,Joseph Frederick Whiteaves,http://www.wikidata.org/entity/Q51511617,Notes on recent Canadian Unionidæ
http://www.wikidata.org/entity/Q385644,Joseph Frederick Whiteaves,http://www.wikidata.org/entity/Q51516290,Palæozoic fossils.
http://www.wikidata.org/entity/Q15987186,Arthur Willey,http://www.wikidata.org/entity/Q51516556,Papers from the Peter Redpath Museum No. 1. Organisms and organization
http://www.wikidata.org/entity/Q5718431,Henry Bovey,http://www.wikidata.org/entity/Q51498690,A lecture on the progess of science in Canada
http://www.wikidata.org/entity/Q1700187,John George Adami,http://www.wikidata.org/entity/Q51513623,On a giant-celled rhabdomyo sarcoma from the trout
http://www.wikidata.org/entity/Q1700187,John George Adami,http://www.wikidata.org/entity/Q51514058,On the diplococcoid form of the colon bacillus
http://www.wikidata.org/entity/Q3292642,Marie Le Franc,http://www.wikidata.org/entity/Q55402964,Le destin
http://www.wikidata.org/entity/Q561378,Louis Hémon,http://www.wikidata.org/entity/Q59688419,Maria Chapdelaine
http://www.wikidata.org/entity/Q3166805,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124846358,Un Clown en hiver
http://www.wikidata.org/entity/Q3166805,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124846759,Les Chiens de Cahuita
http://www.wikidata.org/entity/Q3166805,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124846780,Le Loup au Québec
http://www.wikidata.org/entity/Q12889799,Eddy Garnier,http://www.wikidata.org/entity/Q124846345,Plaie rouillée
http://www.wikidata.org/entity/Q2977119,Claude C. Pierre,http://www.wikidata.org/entity/Q124846330,Le Coup de l'étrier
http://www.wikidata.org/entity/Q1096583,Claude Chastillon,http://www.wikidata.org/entity/Q124846340,Carnets de guerre
http://www.wikidata.org/entity/Q3165897,Jean-François Somain,http://www.wikidata.org/entity/Q124846779,Le Jour de la lune
http://www.wikidata.org/entity/Q56871252,Paul Roux,http://www.wikidata.org/entity/Q124846342,Donatina et Noblika
http://www.wikidata.org/entity/Q17660168,Jennifer Dickson,http://www.wikidata.org/entity/Q124846730,Le Châtiment d'Orphée
http://www.wikidata.org/entity/Q3295783,Martine L. Jacquot,http://www.wikidata.org/entity/Q124846745,La Folie des chapeaux
http://www.wikidata.org/entity/Q3592796,Évelyne Voldeng,http://www.wikidata.org/entity/Q124846761,Les Mémoires de Ti-Jean
http://www.wikidata.org/entity/Q1398256,Michel Blanc,http://www.wikidata.org/entity/Q124846734,Le Procès des humains
http://www.wikidata.org/entity/Q3380579,Philippe Prévost,http://www.wikidata.org/entity/Q124846746,La France et le Canada
http://www.wikidata.org/entity/Q124301359,Monique Genuist,http://www.wikidata.org/entity/Q124847424,L'Île au cotonnier
http://www.wikidata.org/entity/Q101666095,Yejide Kilanko,http://www.wikidata.org/entity/Q111238642,Daughters Who Walk This Path
http://www.wikidata.org/entity/Q3438235,Rodney Saint-Éloi,http://www.wikidata.org/entity/Q105724545,Quand il fait triste Bertha chante
http://www.wikidata.org/entity/Q3292642,Marie Le Franc,http://www.wikidata.org/entity/Q90415916,Pêcheurs de Gaspésie
http://www.wikidata.org/entity/Q3130476,Henri Émile Chevalier,http://www.wikidata.org/entity/Q98829529,Biographie de Mme Anna de La Grange
http://www.wikidata.org/entity/Q3579737,Édouard Baudry,http://www.wikidata.org/entity/Q105429881,Rue Principale
http://www.wikidata.org/entity/Q3083347,François-Edme Rameau de Saint-Père,http://www.wikidata.org/entity/Q84850639,"Une colonie féodale en Amerique : l'Acadie, 1604-1881, volume I"
http://www.wikidata.org/entity/Q3083347,François-Edme Rameau de Saint-Père,http://www.wikidata.org/entity/Q84850659,"Une colonie féodale en Amerique : l'Acadie, 1604-1881, volume II"
