work,workLabel,author,authorLabel,ethnicityLabel
http://www.wikidata.org/entity/Q18354521,Sanaaq,Mitiarjuk Nappaaluk,Mitiarjuk Nappaaluk,Inuit
http://www.wikidata.org/entity/Q22811618,"Acts of French royal administration concerning Canada, Guiana, the West Indies and Louisiane, prior to 1791",Canada,Canada,Inuit
http://www.wikidata.org/entity/Q85802652,Split Tooth,Tagaq,Tagaq,Inuit
http://www.wikidata.org/entity/Q96606826,The Right to Be Cold,Sheila Watt-Cloutier,Sheila Watt-Cloutier,Inuit
http://www.wikidata.org/entity/Q5309534,Dry Lips Oughta Move to Kapuskasing,Tomson Highway,Tomson Highway,Cree
http://www.wikidata.org/entity/Q6417110,Kiss of the Fur Queen,Tomson Highway,Tomson Highway,Cree
http://www.wikidata.org/entity/Q7367625,Rose,Tomson Highway,Tomson Highway,Cree
http://www.wikidata.org/entity/Q7760599,The Rez Sisters,Tomson Highway,Tomson Highway,Cree
http://www.wikidata.org/entity/Q61068417,Elements of Indigenous Style: A Guide for Writing By and About Indigenous Peoples,Greg Younging,Greg Younging,Cree
http://www.wikidata.org/entity/Q105422601,Red Spider White Web,Misha,Misha,Cree
http://www.wikidata.org/entity/Q106367885,From the Ashes,Jesse Thistle,Jesse Thistle,Cree
http://www.wikidata.org/entity/Q106368181,Disintegrate/Dissociate,Arielle Twist,Arielle Twist,Cree
http://www.wikidata.org/entity/Q127520820,Talk Treaty to Me,Theresa Cutknife,Theresa Cutknife,Cree
http://www.wikidata.org/entity/Q3210486,The Plague of Doves,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q6077660,Love Medicine,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q6116759,Jacklight,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q7750582,The Master Butchers Singing Club,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q7759852,The Red Convertible,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q7831586,Tracks,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q17002301,The Birchbark House,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q17010474,The Round House,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q17013508,The Game of Silence,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q18786624,Medicine Walk,Richard Wagamese,Richard Wagamese,Ojibwe
http://www.wikidata.org/entity/Q25218649,LaRose,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q39045396,Indian Horse,Richard Wagamese,Richard Wagamese,Ojibwe
http://www.wikidata.org/entity/Q42184127,The Antelope Wife,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q42184151,The Beet Queen,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q42184184,The Bingo Palace,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q42184421,The Crown of Columbus,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q42186486,Tales of Burning Love,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q43147058,Future Home of the Living God,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q48966906,Original Local,Heid E. Erdrich,Heid E. Erdrich,Ojibwe
http://www.wikidata.org/entity/Q65067818,The Last Report on the Miracles at Little No Horse,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q65118369,Four Souls,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q104093574,All We Can Save,Tara Houska,Tara Houska,Ojibwe
http://www.wikidata.org/entity/Q108907129,The Night Watchman,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q114743542,Old Man Potchikoo,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q121812052,A casa redonda,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q130369414,Daughters of the Deer,Danielle Daniel,Danielle Daniel,Ojibwe
http://www.wikidata.org/entity/Q132427456,The Mighty Red,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q134611463,The Painted Drum,Louise Erdrich,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q29828869,The Unnatural and Accidental Women,Marie Clements,Marie Clements,Métis
http://www.wikidata.org/entity/Q60756135,The Marrow Thieves,Cherie Dimaline,Cherie Dimaline,Métis
http://www.wikidata.org/entity/Q65082511,Birdie,Tracey Lindberg,Tracey Lindberg,Métis
http://www.wikidata.org/entity/Q105422601,Red Spider White Web,Misha,Misha,Métis
http://www.wikidata.org/entity/Q105877331,The Pemmican Eaters,Marilyn Dumont,Marilyn Dumont,Métis
http://www.wikidata.org/entity/Q105878366,A Really Good Brown Girl,Marilyn Dumont,Marilyn Dumont,Métis
http://www.wikidata.org/entity/Q106147549,green girl dreams Mountains,Marilyn Dumont,Marilyn Dumont,Métis
http://www.wikidata.org/entity/Q106148067,that tongued belonging,Marilyn Dumont,Marilyn Dumont,Métis
http://www.wikidata.org/entity/Q106367885,From the Ashes,Jesse Thistle,Jesse Thistle,Métis
http://www.wikidata.org/entity/Q110275795,Empire of Wild,Cherie Dimaline,Cherie Dimaline,Métis
http://www.wikidata.org/entity/Q117288689,The Break,Katherena Vermette,Katherena Vermette,Métis
http://www.wikidata.org/entity/Q124260886,Tick Talk,Cherie Dimaline,Cherie Dimaline,Métis
http://www.wikidata.org/entity/Q127706363,You used to call me Marie...,Tai Amy Grauman,Tai Amy Grauman,Métis
http://www.wikidata.org/entity/Q128796700,Rougarou,Damion LeClair,Damion LeClair,Métis
http://www.wikidata.org/entity/Q130634113,Tombs of the Vanishing Indian,Marie Clements,Marie Clements,Métis
http://www.wikidata.org/entity/Q133561722,Funeral Songs for Dying Girls,Cherie Dimaline,Cherie Dimaline,Métis
http://www.wikidata.org/entity/Q134272388,committing a dream / pawâkan Palestine,Moe Clark,Moe Clark,Métis
