work,workLabel,author,authorLabel,Place of Birth,Place of Birth coordinates,ethnicity,ethnicityLabel,pubPlace,pubPlace coordinates,derivativeWork,derivativeWorkLabel,relationType,relationTypeLabel
Disintegrate/Dissociate,Disintegrate/Dissociate,Arielle Twist,Arielle Twist,George Gordon First Nation,"51.28993156377021, -104.298831983649",Cree,Cree,Vancouver,"49.28190002904759, -123.12081727240904",,,,
Empire of Wild,Empire of Wild,Cherie Dimaline,Cherie Dimaline,Georgian Bay,"45.01552560086351, -79.74154335061054",Métis,Métis,Toronto,"43.65059181183025, -79.39180486932116",,,,
Funeral Songs for Dying Girls,Funeral Songs for Dying Girls,Cherie Dimaline,Cherie Dimaline,Georgian Bay,"45.01552560086351, -79.74154335061054",Métis,Métis,Toronto,"43.65059181183025, -79.39180486932116",,,,
The Marrow Thieves,The Marrow Thieves,Cherie Dimaline,Cherie Dimaline,Georgian Bay,"45.01552560086351, -79.74154335061054",Métis,Métis,Toronto,"43.65059181183025, -79.39180486932116",,,,
Tick Talk,Tick Talk,Cherie Dimaline,Cherie Dimaline,Georgian Bay,"45.01552560086351, -79.74154335061054",Métis,Métis,Edmonton,"53.55067060700597, -113.49545468401197",,,,
Rougarou,Rougarou,Cherie Dimaline,Cherie Dimaline,Georgian Bay,"45.01552560086351, -79.74154335061054",Métis,Métis,Edmonton,"53.55067060700597, -113.49545468401197",,,,
Daughters of the Deer,Daughters of the Deer,Danielle Daniel,Danielle Daniel,Greater Sudbury,"46.48615223151889, -80.99693433952693",Ojibwe,Ojibwe,Toronto,"43.65059181183025, -79.39180486932116",,,,
Sure You Can Ask Me A Personal Question,Sure You Can Ask Me A Personal Question,Diane M. Burns,Diane M. Burns,Lawrence,"38.97290535686943, -95.2414790533052",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
Women of the Fur Trade,Women of the Fur Trade,Frances Koncan,Frances Koncan,Couchiching First Nation,"48.634800200053455, -93.35976820513788",First Nations,First Nations,Toronto,"43.65059181183025, -79.39180486932116",,,,
Elements of Indigenous Style: A Guide for Writing By and About Indigenous Peoples,Elements of Indigenous Style: A Guide for Writing By and About Indigenous Peoples,Greg Younging,Greg Younging,Halifax,"44.65104443394056, -63.594792067508195",Cree,Cree,Edmonton,"53.55067060700597, -113.49545468401197",,,,
Original Local,Original Local,Heid E. Erdrich,Heid E. Erdrich,Breckenridge Township,"46.26272068870453, -96.58645372945207",Ojibwe,Ojibwe,Saint Paul,"44.954257304746925, -93.09026607916266",,,,
From the Ashes,From the Ashes,Jesse Thistle,Jesse Thistle,Prince Albert,"53.20466727901388, -105.75792289048377",Métis,Métis,New York City,"40.71223695337101, -74.01109169168261",,,,
The Break,The Break,Katherena Vermette,Katherena Vermette,Winnipeg,"49.89437588433086, -97.14804580371617",Métis,Métis,Toronto,"43.65059181183025, -79.39180486932116",,,,
Words like Thunder: New and Used Anishinaabe Prayers,Words like Thunder: New and Used Anishinaabe Prayers,Lois Beardslee,Lois Beardslee,Great Lakes,45; -84,Ojibwe,Ojibwe,Detroit,"42.3301456453562, -83.0517507211335",Words like Thunder: New and Used Anishinaabe Prayers,Words like Thunder: New and Used Anishinaabe Prayers,http://www.wikidata.org/entity/P629,edition or translation of
Poem Written to his Jailer,Poem Written to his Jailer,Louis Riel,Louis Riel,Saint Boniface,"49.86136557701398, -97.07775573872395",Métis,Métis,Regina,"50.44413723540803, -104.6223659408486",,,,
A casa redonda,A casa redonda,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809086",Ojibwe,Ojibwe,Washington,"47.2874134377024, -119.96248810248662",,,,
Four Souls,Four Souls,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809087",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
Future Home of the Living God,Future Home of the Living God,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809088",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
Jacklight,Jacklight,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809089",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
LaRose,LaRose,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809090",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
Love Medicine,Love Medicine,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809091",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",Love Medicine,Love Medicine,http://www.wikidata.org/entity/P629,edition or translation of
Old Man Potchikoo,Old Man Potchikoo,Louise Erdrich,Louise Erdrich,Little Falls,"45.97956133658686, -94.36846044809092",Ojibwe,Ojibwe,New York City,"40.71223695337101, -74.01109169168261",,,,
