OG_Work_Links,QID,Linked_OG_titles,publication date,OG_Country,OG_place of publication,OG_Authors,OG_Work_Titles,OG_Lang,Translated_Work_Links,QID...,Translate_Titles_Links,place of publication,printed by,publisher,distribution format,Trans_Pub_Date,Translated_Pub_Country,Translator,Translated_Work_Titles,Translated_Langs
http://www.wikidata.org/entity/Q20558779,Q20558779,Al-Malfooz,N/A,N/A,Bareilly,Ahmed Raza Khan Barelvi,Al-Malfooz,Urdu,http://www.wikidata.org/entity/Q47482026,Q47482026,Al-Malfooz,Durban,n/a,n/a,n/a,N/A,N/A,عبدالہادی القادری,Al-Malfooz,English
http://www.wikidata.org/entity/Q96474018,Q96474018,"You Ask, I Tell",1970-01-01,N/A,N/A,Hansa Wadkar,"You Ask, I Tell",Hindi,http://www.wikidata.org/entity/Q96474045,Q96474045,"You Ask, I Tell",n/a,n/a,n/a,n/a,2013-01-01,N/A,N/A,"You Ask, I Tell",English
http://www.wikidata.org/entity/Q3351637,Q3351637,Chokher Bali,N/A,British Raj,N/A,Rabindranath Tagore,Chokher Bali,Bangla,http://www.wikidata.org/entity/Q103915453,Q103915453,Eyesore,n/a,n/a,n/a,n/a,1914-01-01,N/A,Surendranath Tagore,Eyesore,English
http://www.wikidata.org/entity/Q477108,Q477108,Constitution of India,1949-11-26,N/A,N/A,Constituent Assembly of India,Constitution of India,Hindi,http://www.wikidata.org/entity/Q21177783,Q21177783,The Constitution of India (Original Calligraphed and Illuminated Version),n/a,n/a,Survey of India,n/a,1949-01-01,N/A,N/A,The Constitution of India (Original Calligraphed and Illuminated Version),English
http://www.wikidata.org/entity/Q12458277,Q12458277,The Sun's Seventh Horse,1952-01-01,India,N/A,Dharamvir Bharati,The Sun's Seventh Horse,Hindi,http://www.wikidata.org/entity/Q133050552,Q133050552,The Sun's Seventh Horse,n/a,n/a,n/a,paperback,1999-01-01,N/A,N/A,The Sun's Seventh Horse,English
http://www.wikidata.org/entity/Q94579252,Q94579252,সংসারেতে আর যাহারা,N/A,British Raj,N/A,Rabindranath Tagore,সংসারেতে আর যাহারা (As for the worldly life),Bangla,http://www.wikidata.org/entity/Q130492265,Q130492265,Gitanjali 32,n/a,n/a,n/a,n/a,N/A,N/A,Rabindranath Tagore,Gitanjali 32,English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594155,Q114594155,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 3),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 3),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594274,Q114594274,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 4),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 4),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594383,Q114594383,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 5),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 5),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594502,Q114594502,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 6),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 6),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594532,Q114594532,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 7),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 7),English
