originalWork,originalWorkLabel,origLangLabel,translatedWork,translatedWorkLabel,transLangLabel
http://www.wikidata.org/entity/Q20558779,Al-Malfooz,Urdu,http://www.wikidata.org/entity/Q47482026,Al-Malfooz,English
http://www.wikidata.org/entity/Q96474018,"You Ask, I Tell",Hindi,http://www.wikidata.org/entity/Q96474045,"You Ask, I Tell",English
http://www.wikidata.org/entity/Q3351637,Chokher Bali,Bangla,http://www.wikidata.org/entity/Q103915453,Eyesore,English
http://www.wikidata.org/entity/Q477108,Constitution of India,Hindi,http://www.wikidata.org/entity/Q21177783,The Constitution of India (Original Calligraphed and Illuminated Version),English
http://www.wikidata.org/entity/Q12458277,The Sun's Seventh Horse,Hindi,http://www.wikidata.org/entity/Q133050552,Q133050552,English
http://www.wikidata.org/entity/Q94579252,Q94579252,Bangla,http://www.wikidata.org/entity/Q130492265,Gitanjali 32,English
http://www.wikidata.org/entity/Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594155,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 3),English
http://www.wikidata.org/entity/Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594274,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 4),English
http://www.wikidata.org/entity/Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594383,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 5),English
http://www.wikidata.org/entity/Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594502,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 6),English
http://www.wikidata.org/entity/Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594532,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 7),English
http://www.wikidata.org/entity/Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594724,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 8),English
http://www.wikidata.org/entity/Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594772,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 9),English
http://www.wikidata.org/entity/Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594832,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 10),English
http://www.wikidata.org/entity/Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594918,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 11),English
http://www.wikidata.org/entity/Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114595040,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 12),English
