OGWork_Links,OGWork_Titles_eng,OG_Form_of_Literature,OGWork_Country of Origin,OGWork_Cordinates,Mappable,OG_Latitude,OG_Longitude,OGWork_Publisher,author_links,Author_QIDs,OGWork_Authors,country of citizenship,OG_Languages_Links,OGLang,translatedWork,TranslatedWork_Titles,Trans_Form of Creative work,pubPlace,Trans_Place of Publication,Trans_Publication_coordinates,TransWork_Lat,Mappable_2,TransWork_Long,Translators,Translated into,transLang
http://www.wikidata.org/entity/Q99838669,Mexican Gothic,novel,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q17386413,Q17386413,Silvia Moreno-Garcia,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q122104446,Mexická gotika,,http://www.wikidata.org/entity/Q14960,Brno,"49.195277777778,16.608333333333",16.608333333333,Yes,49.195277777778,Ivana Svobodová,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q1750300,Dracula the Un-dead,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,HarperCollins,http://www.wikidata.org/entity/Q3700744,Q3700744,Dacre Stoker,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q117350127,Dracula l'Immortel,,http://www.wikidata.org/entity/Q142,France,"47,2",2,Yes,47,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q130284355,Willful Child,novel,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q428755,Q428755,Steven Erikson,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q121970528,Spratek,,http://www.wikidata.org/entity/Q1085,Prague,"50.0875,14.421388888888888",14.421388888888888,Yes,50.0875,Dana Krejčová,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q4750096,An Introduction to Old Norse,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q81877,Q81877,E. V. Gordon,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q118252096,An Introduction to Old Norse,,http://www.wikidata.org/entity/Q34217,Oxford,"51.751944444444,-1.2577777777778",-1.2577777777778,Yes,51.751944444444,,English,http://www.wikidata.org/entity/Q35505
http://www.wikidata.org/entity/Q119856438,Representing and Intervening: Introductory Topics in the Philosophy of Natural Science,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q188357,Q188357,Ian Hacking,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q119856466,Einführung in die Philosophie der Naturwissenschaften,,http://www.wikidata.org/entity/Q183,Germany,"51,10",10,Yes,51,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q760138,Chroniques de Jérusalem,graphic novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q525837,Q525837,Guy Delisle,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q116996874,Jerusalem: Chronicles from the Holy City,graphic novel,http://www.wikidata.org/entity/Q340,Montreal,"45.5033426,-73.5868411",-73.5868411,Yes,45.5033426,Helge Dascher,English,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q25217358,Consumed,novel,Canada,"56,-109",Yes,-109,56,Charles Scribner's Sons,http://www.wikidata.org/entity/Q55422,Q55422,David Cronenberg,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q121958713,Konzumárium,,http://www.wikidata.org/entity/Q1085,Prague,"50.0875,14.421388888888888",14.421388888888888,Yes,50.0875,,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q3222227,Strong Medicine,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,Dell Publishing,http://www.wikidata.org/entity/Q249544,Q249544,Arthur Hailey,United Kingdom,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q123220429,Le Destin d'une femme,,http://www.wikidata.org/entity/Q142,France,"47,2",2,Yes,47,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q565911,Anne of Green Gables,,Canada,"56,-109",Yes,-109,56,L. C. Page & Company,http://www.wikidata.org/entity/Q273034,Q273034,Lucy Maud Montgomery,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q119361629,Anne et le bonheur (1964),,http://www.wikidata.org/entity/Q90,Paris,"48.85666666666667,2.352222222222222",2.352222222222222,Yes,48.85666666666667,Suzanne Pairault,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q781708,No Logo,,Canada,"56,-109",Yes,-109,56,Picador,http://www.wikidata.org/entity/Q236606,Q236606,Naomi Klein,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q119506564,No Logo,,http://www.wikidata.org/entity/Q29,Spain,"40.2,-3.5",-3.5,Yes,40.2,,Spanish,http://www.wikidata.org/entity/Q1321
