OGWork_Links,OGWork_Titles_eng,OG_Form_of_Literature,OGWork_Country of Origin,OGWork_Publisher,author_links,Author_QIDs,OGWork_Authors,country of citizenship,OG_Languages_Links,OGLang,translatedWork,TranslatedWork_Titles,publisher,country,coordinate location_Country,Longitude,Latitude,HQ Location,coordinate location for HQ,Longitude_2,Latitude_2,Translators,Translated into,transLang
http://www.wikidata.org/entity/Q760138,Chroniques de Jérusalem,graphic novel,Canada,n/a,http://www.wikidata.org/entity/Q525837,Q525837,Guy Delisle,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q116996874,Jerusalem: Chronicles from the Holy City,Drawn & Quarterly,Canada,"56,-109",-109,56,Montreal,"45.5033426,-73.5868411",-73.5868411,45.5033426,Helge Dascher,English,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q25217358,Consumed,novel,Canada,Charles Scribner's Sons,http://www.wikidata.org/entity/Q55422,Q55422,David Cronenberg,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q121958713,Konzumárium,Argo Publishing,Czech Republic,"50,15",15,50,Prague,"50.0875,14.421388888888888",14.421388888888888,50.0875,,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q565911,Anne of Green Gables,,Canada,L. C. Page & Company,http://www.wikidata.org/entity/Q273034,Q273034,Lucy Maud Montgomery,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q119361629,Anne et le bonheur (1964),Hachette,France,"47,2",2,47,Paris,"48.85666666666667,2.352222222222222",2.352222222222222,48.85666666666667,Suzanne Pairault,French,http://www.wikidata.org/entity/Q150
,,,,,,,,,,,,,,France,"47,2",2,47,Paris,"48.85666666666667,2.352222222222222",2.352222222222222,48.85666666666667,,,
,,,,,,,,,,,,,,France,"47,2",2,47,Paris,"48.85666666666667,2.352222222222222",2.352222222222222,48.85666666666667,,,
http://www.wikidata.org/entity/Q781708,No Logo,,Canada,Picador,http://www.wikidata.org/entity/Q236606,Q236606,Naomi Klein,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q119506564,No Logo,Ediciones Paidós,Spain,"40.2,-3.5",-3.5,40.2,Barcelona,"41.3825,2.1769444444444",2.1769444444444,41.3825,,Spanish,http://www.wikidata.org/entity/Q1321
,,,,,,,,,,,,,Ediciones Paidós,Argentina,"-34,-64",-64,-34,Buenos Aires,"-34.599722222222,-58.381944444444",-58.381944444444,-34.599722222222,,,
http://www.wikidata.org/entity/Q441055,Gardens of the Moon,novel,Canada,n/a,http://www.wikidata.org/entity/Q428755,Q428755,Steven Erikson,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q121620694,Les Jardins de la Lune,Buchet/Chastel,France,"47,2",2,47,Paris,"48.85666666666667,2.352222222222222",2.352222222222222,48.85666666666667,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q441055,Gardens of the Moon,novel,Canada,n/a,http://www.wikidata.org/entity/Q428755,Q428755,Steven Erikson,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q122124725,Měsíční zahrady: první příběh z Malazské knihy padlých,,Czech Republic,"50,15",15,50,Prague,"50.0875,14.421388888888888",14.421388888888888,50.0875,Dana Krejčová,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q5036494,Captain's Peril,novel,Canada,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825950,Sternen­dämmerung,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036494,Captain's Peril,novel,Canada,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825952,Sternen­dämmerung,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5440721,Federation,novel,Canada,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824994,Die Föderation,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5440721,Federation,novel,Canada,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824996,Die Föderation,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
