work,Title,author link,Author,birthPlace link,Birth Place,Latitude,Longitude,birthCountry link,Birth Country
http://www.wikidata.org/entity/Q133799960,Q133799960,http://www.wikidata.org/entity/Q290491,Gioconda Belli,http://www.wikidata.org/entity/Q3274,Managua,,Managua,http://www.wikidata.org/entity/Q811,Nicaragua
http://www.wikidata.org/entity/Q134532537,Q134532537,http://www.wikidata.org/entity/Q290491,Gioconda Belli,http://www.wikidata.org/entity/Q3274,Managua,,Managua,http://www.wikidata.org/entity/Q811,Nicaragua
http://www.wikidata.org/entity/Q135106867,Q135106867,http://www.wikidata.org/entity/Q290491,Gioconda Belli,http://www.wikidata.org/entity/Q3274,Managua,,Managua,http://www.wikidata.org/entity/Q811,Nicaragua
http://www.wikidata.org/entity/Q15595065,Pinjar,http://www.wikidata.org/entity/Q1705018,Amrita Pritam,http://www.wikidata.org/entity/Q243322,Gujranwala,,Gujranwala,http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q61995385,Sunehure,http://www.wikidata.org/entity/Q1705018,Amrita Pritam,http://www.wikidata.org/entity/Q243322,Gujranwala,,Gujranwala,http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q62272817,Q62272817,http://www.wikidata.org/entity/Q1705018,Amrita Pritam,http://www.wikidata.org/entity/Q243322,Gujranwala,,Gujranwala,http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q133272472,Q133272472,http://www.wikidata.org/entity/Q1705018,Amrita Pritam,http://www.wikidata.org/entity/Q243322,Gujranwala,,Gujranwala,http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q19415038,Q19415038,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19415910,Q19415910,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19416399,Q19416399,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19417228,Q19417228,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19418564,Q19418564,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19420208,Q19420208,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19423449,Q19423449,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19423455,Q19423455,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19424090,Q19424090,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19426497,Q19426497,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19430965,Q19430965,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19434281,Q19434281,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19434380,Q19434380,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19434426,Q19434426,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19434429,Q19434429,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19434637,Q19434637,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19434749,Q19434749,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19447304,Q19447304,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19448498,Q19448498,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19448508,Q19448508,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19448537,Q19448537,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19448591,Q19448591,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19448609,Q19448609,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19448618,Q19448618,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19448654,Q19448654,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19448743,Q19448743,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19456070,Q19456070,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19465702,Q19465702,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19466771,Q19466771,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19484349,Q19484349,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19488110,Q19488110,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19491572,Q19491572,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19491578,Q19491578,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19492985,Q19492985,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
