author,authorLabel,placeOfDeath,placeOfDeathLabel,residence,residenceLabel,work,workLabel,publicationPlace,publicationPlaceLabel,language,languageLabel
http://www.wikidata.org/entity/Q103559,John Voss,http://www.wikidata.org/entity/Q2132,Victoria,,,,,,,,
http://www.wikidata.org/entity/Q92799,David Day,,,,,http://www.wikidata.org/entity/Q122138204,Q122138204,http://www.wikidata.org/entity/Q1085,Prague,http://www.wikidata.org/entity/Q9056,cs
http://www.wikidata.org/entity/Q92799,David Day,,,,,http://www.wikidata.org/entity/Q122138205,Q122138205,http://www.wikidata.org/entity/Q1085,Prague,http://www.wikidata.org/entity/Q9056,cs
http://www.wikidata.org/entity/Q92608,Brian Kernighan,,,,,http://www.wikidata.org/entity/Q115297373,Q115297373,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q134731819,Party Discipline,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q97143,Frederick Philip Grove,http://www.wikidata.org/entity/Q1904,Ontario,,,http://www.wikidata.org/entity/Q133529823,Consider Her Ways,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q133248823,Q133248823,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q97143,Frederick Philip Grove,http://www.wikidata.org/entity/Q1904,Ontario,,,http://www.wikidata.org/entity/Q42184860,Fruits of the Earth,,,,
http://www.wikidata.org/entity/Q92622,James Gosling,,,http://www.wikidata.org/entity/Q213205,San Francisco Bay Area,,,,,,
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q131516916,The Brave Little Toaster,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q95099,Guy Gavriel Kay,,,,,http://www.wikidata.org/entity/Q122047381,Q122047381,http://www.wikidata.org/entity/Q1085,Prague,http://www.wikidata.org/entity/Q9056,cs
http://www.wikidata.org/entity/Q92608,Brian Kernighan,,,,,http://www.wikidata.org/entity/Q122039648,Q122039648,http://www.wikidata.org/entity/Q14960,Brno,http://www.wikidata.org/entity/Q9056,cs
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q132249961,Q132249961,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q97143,Frederick Philip Grove,http://www.wikidata.org/entity/Q1904,Ontario,,,http://www.wikidata.org/entity/Q42186877,The Yoke of Life,,,,
http://www.wikidata.org/entity/Q86203,Peter C. Newman,http://www.wikidata.org/entity/Q34227,Belleville,,,http://www.wikidata.org/entity/Q7721136,The Canadian Establishment,,,,
http://www.wikidata.org/entity/Q71819,Elisabeth Mann Borgese,http://www.wikidata.org/entity/Q68986,St. Moritz,,,http://www.wikidata.org/entity/Q108294542,"For Sale, Reasonable",,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q131461832,Human Readable,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q131461967,Radicalized,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q131461908,The Man Who Sold the Moon,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q131461964,Unauthorized Bread,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q131516867,Flowers from Alice,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q131516912,Nimby and the Dimension Hoppers,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q131516921,The Jammie Dodgers and the Adventure of the Leicester Square Screening,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q104109,Mary Pickford,http://www.wikidata.org/entity/Q47164,Santa Monica,http://www.wikidata.org/entity/Q172,Toronto,,,,,,
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q132127975,Q132127975,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q110436,Cory Doctorow,,,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q131472336,The Things That Make Me Weak and Strange Get Engineered Away,,,http://www.wikidata.org/entity/Q1860,en
