Work UPL,publisher,country of origin,language of work or name,genre,Author URL,Place URL,pubdate
Half of a Yellow Sun,,Nigeria,English,historical fiction,Chimamanda Ngozi Adichie,,2006-01-01T00:00:00Z
The Palm-Wine Drinkard,Faber & Faber,Nigeria,English,,Amos Tutuola,,1952-01-01T00:00:00Z
A Grain of Wheat,Heinemann,Kenya,English,,Ngũgĩ wa Thiong'o,England,1967-01-01T00:00:00Z
Americanah,,Nigeria,English,historical fiction,Chimamanda Ngozi Adichie,,2013-05-01T00:00:00Z
Americanah,,Nigeria,English,historical fiction,Chimamanda Ngozi Adichie,,2013-05-14T00:00:00Z
Things Fall Apart,,United Kingdom,English,fiction literature,Chinua Achebe,,1968-01-01T00:00:00Z
Things Fall Apart,,United Kingdom,English,fiction literature,Chinua Achebe,,1958-01-01T00:00:00Z
So Long a Letter,Heinemann,Senegal,French,epistolary novel,Mariama Bâ,,1981-01-01T00:00:00Z
Purple Hibiscus,Kachifo Limited,Nigeria,English,fiction,Chimamanda Ngozi Adichie,North Carolina State University,2003-10-01T00:00:00Z
,HarperCollins,,,,,,
Nervous Conditions,,Zimbabwe,English,bildungsroman,Tsitsi Dangarembga,,1988-01-01T00:00:00Z
Season of Migration to the North,al-Tayyib Salih,Sudan,Arabic,fiction literature,al-Tayyib Salih,,1966-01-01T00:00:00Z
,,,,postcolonial literature,,,
Purple Hibiscus,Kachifo Limited,Nigeria,English,fiction,Chimamanda Ngozi Adichie,North Carolina State University,2003-10-01T00:00:00Z
,HarperCollins,,,,,,
