work,workLabel,author,authorLabel,publisher,place,coordinate location,Longitude,Latitude,location,placeLabel,pubdate
The Thing Around Your Neck,The Thing Around Your Neck,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,Alfred A. Knopf,New York City,"40.71277777777778,-74.00611111111111",-74.00611111111111,40.71277777777778,"1745 Broadway, New York, NY 10019, United States",,2009-01-01T00:00:00Z
The Thing Around Your Neck,The Thing Around Your Neck,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,Alfred A. Knopf,New York City,"40.71277777777778,-74.00611111111111",-74.00611111111111,40.71277777777778,"1745 Broadway, New York, NY 10019, United States",,2010-06-01T00:00:00Z
Americanah,Americanah,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,Vintage Books,New York City,"40.71277777777778,-74.00611111111111",-74.00611111111111,40.71277777777778,"1745 Broadway, New York, NY 10019, United States",,2013-05-01T00:00:00Z
Americanah,Americanah,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,Vintage Books,New York City,"40.71277777777778,-74.00611111111111",-74.00611111111111,40.71277777777778,"1745 Broadway, New York, NY 10019, United States",,2013-05-14T00:00:00Z
Purple Hibiscus,Purple Hibiscus,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,HarperCollins,North Carolina State University,"35.78722222222222,-78.67055555555555",-78.67055555555555,35.78722222222222,North Carolina State University,North Carolina State University,2003-10-01T00:00:00Z
We Should All Be Feminists,We Should All Be Feminists,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,HarperCollins,New York City,"40.71277777777778,-74.00611111111111",-74.00611111111111,40.71277777777778,"195 Broadway, New York City, New York, United States",,2015-09-03T00:00:00Z
The Thing Around Your Neck,The Thing Around Your Neck,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,Knopf Doubleday Publishing Group,New York City,"40.71277777777778,-74.00611111111111",-74.00611111111111,40.71277777777778,"1745 Broadway, New York, NY 10019, United States",,2009-01-01T00:00:00Z
The Thing Around Your Neck,The Thing Around Your Neck,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,Knopf Doubleday Publishing Group,New York City,"40.71277777777778,-74.00611111111111",-74.00611111111111,40.71277777777778,"1745 Broadway, New York, NY 10019, United States",,2010-06-01T00:00:00Z
Purple Hibiscus,Purple Hibiscus,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,Kachifo Limited,North Carolina State University,"35.78722222222222,-78.67055555555555",-78.67055555555555,35.78722222222222,North Carolina State University,North Carolina State University,2003-10-01T00:00:00Z
Half of a Yellow Sun,Half of a Yellow Sun,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,Kachifo Limited,New York City,"40.71277777777778,-74.00611111111111",-74.00611111111111,40.71277777777778,"253 Herbert Macaulay Way,. Alagomeji, Yaba-Lagos",,2006-01-01T00:00:00Z
The Thing Around Your Neck,The Thing Around Your Neck,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,HarperCollins,,,,,,,2009-01-01T00:00:00Z
The Thing Around Your Neck,The Thing Around Your Neck,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,HarperCollins,,,,,,,2010-06-01T00:00:00Z
