Work Title,Author,Work Language,Publishing Location (PL),PL Lagitude,PL Longitude,Publisher,Publishing Date
Lives of Girls and Women,Alice Munro,English,Toronto,43.670277777778,-79.386666666667,McGraw-Hill Ryerson,1971-01-01T00:00:00Z
Doctor Dolittle and the Green Canary,Olga Fricker,English,United States,39.828175,-98.5795,J. B. Lippincott & Co.,1950-01-01T00:00:00Z
Wallflowers,Eliza Robertson,English,United States,39.828175,-98.5795,Bloomsbury,2014-01-01T00:00:00Z
The Child Garden,Geoff Ryman,English,United Kingdom,54.6,-2.0,,1989-10-01T00:00:00Z
Les Cordes-de-bois,Antonine Maillet,French,Montreal,45.5033426,-73.5868411,Leméac,1977-01-01T00:00:00Z
Western voices in Canadian art,Patricia Bovey,English,Winnipeg,49.895555555556,-97.138611111111,University of Manitoba Press,2023-02-01T00:00:00Z
The Body At The Tower,Y. S. Lee,English,Berryville,39.1511,-77.9825,Candlewick Press,2010-08-10T00:00:00Z
The Body At The Tower,Y. S. Lee,English,United States,39.828175,-98.5795,Candlewick Press,2010-08-10T00:00:00Z
"The Traveller, livre 01: Le labyrinthe cosmique",FREDC,French,Montreal,45.5033426,-73.5868411,TRIP Comix,2015-01-01T00:00:00Z
No Logo,Naomi Klein,English,Toronto,43.670277777778,-79.386666666667,Picador,1999-12-01T00:00:00Z
Panicle,Gillian Sze,English,Toronto,43.670277777778,-79.386666666667,ECW Press,2017-09-19T00:00:00Z
No Logo,Naomi Klein,English,Toronto,43.670277777778,-79.386666666667,Alfred A. Knopf,1999-12-01T00:00:00Z
Anne of Avonlea,Lucy Maud Montgomery,English,Boston,42.360277777778,-71.057777777778,Louis Coues Page,1909-01-01T00:00:00Z
Sept Jours dans la vie de Stanley Siscœ,Daniel Saint-Germain,French,Quebec City,46.816111,-71.224167,,2005-01-01T00:00:00Z
The Measure of a Man,Norman Duncan,English,Chicago,41.881944444444,-87.627777777778,Fleming H. Revell Company,1911-01-01T00:00:00Z
“Swedie”,Ann de Bertrand Lugrin,English,New York City,40.712777777778,-74.006111111111,Macmillan Publishers,1905-03-01T00:00:00Z
The Voyage to Kemptonia,Margerie Scott,English,New York City,40.712777777778,-74.006111111111,Experimenter Publishing,1928-10-01T00:00:00Z
L'Avalée des avalés,Réjean Ducharme,French,Quebec,52.0,-72.0,,1966-09-16T00:00:00Z
Mariaagélas,Antonine Maillet,French,Montreal,45.5033426,-73.5868411,,1973-01-01T00:00:00Z
The Outlander,Germaine Guèvremont,English,New York City,40.712777777778,-74.006111111111,,1950-01-01T00:00:00Z
A Spy In The House,Y. S. Lee,English,United States,39.828175,-98.5795,Candlewick Press,2010-03-09T00:00:00Z
Dark Horse Records: The Story of George Harrison's Post-Beatles Record Label,Aaron Badgley,English,United Kingdom,54.6,-2.0,Sonicbond Publishing,2023-12-08T00:00:00Z
Dark Horse Records: The Story of George Harrison's Post-Beatles Record Label,Aaron Badgley,English,United Kingdom,54.6,-2.0,Sonicbond Publishing,2024-01-24T00:00:00Z
Neuromancer,William Gibson,English,Canada,56.0,-109.0,Ace Books,1984-07-01T00:00:00Z
Pierre-Joseph Proudhon: A Biography,George Woodcock,English,New York City,40.712777777778,-74.006111111111,Macmillan Inc.,1956-01-01T00:00:00Z
“Swedie”,Ann de Bertrand Lugrin,English,London,51.507222222222,-0.1275,The Century Company,1905-03-01T00:00:00Z
Taaqtumi: An Anthology of Arctic Horror Stories,Rachel Qitsualik-Tinsley,English,Iqaluit,63.749444444444,-68.521666666667,Inhabit Media Inc.,2019-09-10T00:00:00Z
My Happy Days in Hell,György Faludy,English,London,51.507222222222,-0.1275,,1962-01-01T00:00:00Z
Taaqtumi: An Anthology of Arctic Horror Stories,Richard Van Camp,English,Iqaluit,63.749444444444,-68.521666666667,Inhabit Media Inc.,2019-09-10T00:00:00Z
Dagger Bill and the Water Babies,Charles G. D. Roberts,English,New York City,40.712777777778,-74.006111111111,Butterick Publishing Company,1908-06-01T00:00:00Z
The Little Sly One,Charles G. D. Roberts,English,New York City,40.712777777778,-74.006111111111,Butterick Publishing Company,1909-11-01T00:00:00Z
Les Ombres filantes,Christian Guay-Poliquin,French,Saguenay,48.4167,-71.0667,La Peuplade,2021-08-30T00:00:00Z
Un cri un chant des voix,Diane Trépanière,French,Montreal,45.5033426,-73.5868411,Éditions du remue-ménage,2014-01-01T00:00:00Z
Taaqtumi: An Anthology of Arctic Horror Stories,Kirsten Carthew,English,Iqaluit,63.749444444444,-68.521666666667,Inhabit Media Inc.,2019-09-10T00:00:00Z
The families and genera of North American Diptera,Charles Howard Curran,English,New York City,40.712777777778,-74.006111111111,http://www.wikidata.org/.well-known/genid/5e16da4a90e5cb6ee423fbe9c144dcbe,1934-01-01T00:00:00Z
Duplessis est encore en vie,Pierre B. Berthelot,French,Quebec,52.0,-72.0,,2021-02-01T00:00:00Z
Taaqtumi: An Anthology of Arctic Horror Stories,Aviaq Johnston,English,Iqaluit,63.749444444444,-68.521666666667,Inhabit Media Inc.,2019-09-10T00:00:00Z
Rivals In The City,Y. S. Lee,English,Berryville,39.1511,-77.9825,Candlewick Press,2015-03-10T00:00:00Z
Rivals In The City,Y. S. Lee,English,United States,39.828175,-98.5795,Candlewick Press,2015-03-10T00:00:00Z
Mass Effect: Retribution,Drew Karpyshyn,English,Canada,56.0,-109.0,Del Rey Books,2010-01-01T00:00:00Z
Mass Effect: Revelation,Drew Karpyshyn,English,Canada,56.0,-109.0,Del Rey Books,2007-05-01T00:00:00Z
Reaper's Gale,Steven Erikson,English,United Kingdom,54.6,-2.0,Bantam Books,2007-05-07T00:00:00Z
Son of a Trickster,Eden Robinson,English,Toronto,43.670277777778,-79.386666666667,Penguin Random House,2017-01-01T00:00:00Z
Les oiseaux de la province de Québec,Charles-Eusèbe Dionne,French,Quebec City,46.816111,-71.224167,Dussault & Proulx,1906-01-01T00:00:00Z
L'Avalée des avalés,Réjean Ducharme,French,Canada,56.0,-109.0,,1966-09-16T00:00:00Z
A Spy In The House,Y. S. Lee,English,York,39.9628,-76.7281,Candlewick Press,2010-03-09T00:00:00Z
The Measure of a Man,Norman Duncan,English,Edinburgh,55.953333333333,-3.1891666666667,Fleming H. Revell Company,1911-01-01T00:00:00Z
The Anatomy of Clay,Gillian Sze,English,Toronto,43.670277777778,-79.386666666667,,2011-04-01T00:00:00Z
The Visitation,Cyril G. Wates,English,New York City,40.712777777778,-74.006111111111,Experimenter Publishing,1927-06-01T00:00:00Z
Depression & Other Magic Tricks,Sabrina Benaim,English,Minneapolis,44.981944444444,-93.269166666667,,2017-08-22T00:00:00Z
Reaper's Gale,Steven Erikson,English,United Kingdom,54.6,-2.0,Tor Books,2007-05-07T00:00:00Z
Plutocrats,Chrystia Freeland,English,New York City,40.712777777778,-74.006111111111,Doubleday Canada,2012-10-11T00:00:00Z
